ProfileID_i,season,daytype,hour,valid_obs_ratio,kw_mean,total_hours_sum,kw_std,valid_hours
363,high,Saturday,14,1.0,0.23619173256344594,11,0.16432488136704998,11.0
363,high,Saturday,15,1.0,0.2806194996126614,11,0.13084418962120845,11.0
363,high,Saturday,16,1.0,0.40202119286425725,11,0.16990830665641363,11.0
363,high,Saturday,17,1.0,0.34103706929302335,11,0.11877758054425645,11.0
363,high,Saturday,18,1.0,0.6912507466498786,11,0.2176016557297853,11.0
363,high,Saturday,19,1.0,0.849717491262279,11,0.22823022656492128,11.0
363,high,Saturday,20,1.0,0.7620740360672329,11,0.23798137291799404,11.0
363,high,Saturday,21,1.0,0.38396743550959805,11,0.1763447784784691,11.0
363,high,Saturday,22,1.0,0.12284354432518181,11,0.06700370201092415,11.0
363,high,Saturday,23,1.0,0.10388924325043113,11,0.07541297336884852,11.0
363,high,Sunday,0,1.0,0.09978846564468524,10,0.08308761737511847,10.0
363,high,Sunday,1,1.0,0.10175817878935989,10,0.08696742678318263,10.0
363,high,Sunday,2,1.0,0.09901609870996693,10,0.08240513751901302,10.0
363,high,Sunday,3,1.0,0.09882137090955319,10,0.08232890858913422,10.0
363,high,Sunday,4,1.0,0.0987508092534507,10,0.08227601423375751,10.0
363,high,Sunday,5,1.0,0.09815452302056919,10,0.0818788936617642,10.0
363,high,Sunday,6,1.0,0.09908543850510092,10,0.08325763845390508,10.0
363,high,Sunday,7,1.0,0.21228003154583877,10,0.1127191957532575,10.0
363,high,Sunday,8,1.0,0.2533554872829206,10,0.19844592016080623,10.0
363,high,Sunday,9,1.0,0.331353694314136,10,0.2667632618437434,10.0
363,high,Sunday,10,1.0,0.34939154247191095,10,0.3343362290783854,10.0
363,high,Sunday,11,1.0,0.23872070647048416,10,0.22317311609150692,10.0
363,high,Sunday,12,1.0,0.30283553793261797,10,0.24069624460252512,10.0
363,high,Sunday,13,1.0,0.37282454338685894,10,0.16819512464510702,10.0
363,high,Sunday,14,1.0,0.1748301454396294,10,0.20827097057937902,10.0
363,high,Sunday,15,1.0,0.1301517662199141,10,0.13917028193388548,10.0
363,high,Sunday,16,1.0,0.15691380018058995,10,0.15527016320875012,10.0
363,high,Sunday,17,1.0,0.45069550955646265,10,0.24958889343694868,10.0
363,high,Sunday,18,1.0,0.6559474253987901,10,0.22593694029643152,10.0
363,high,Sunday,19,1.0,0.7942085533846744,10,0.21032804912334938,10.0
363,high,Sunday,20,1.0,0.7576018575278045,10,0.11085836658861394,10.0
363,high,Sunday,21,1.0,0.396542362611269,10,0.2852535808524848,10.0
363,high,Sunday,22,1.0,0.10512595900179111,10,0.12493025384855494,10.0
363,high,Sunday,23,1.0,0.08599938558738669,10,0.11609813986085311,10.0
363,low,Weekday,0,0.9285714285714286,0.04015426991112296,14,0.07042878826501404,13.0
363,low,Weekday,1,0.9285714285714286,0.03730512082429552,14,0.06431915559040088,13.0
363,low,Weekday,2,0.9285714285714286,0.03616145779442706,14,0.06361114215826563,13.0
363,low,Weekday,3,0.9285714285714286,0.035873777742983254,14,0.0627510445248979,13.0
363,low,Weekday,4,0.9285714285714286,0.08937600333994197,14,0.1222466271464806,13.0
363,low,Weekday,5,0.9285714285714286,0.250705136048281,14,0.26069890854402633,13.0
363,low,Weekday,6,0.9285714285714286,0.22154440088822386,14,0.13957685167041506,13.0
363,low,Weekday,7,0.9285714285714286,0.21972697374730424,14,0.21817962514089803,13.0
363,low,Weekday,8,1.0,0.20997184946163078,14,0.3104221479837272,14.0
363,low,Weekday,9,1.0,0.08929234960134892,14,0.12313988417194022,14.0
363,low,Weekday,10,0.8461538461538461,0.03447429587549235,13,0.047560294688312486,11.0
363,low,Weekday,11,0.8461538461538461,0.05251815134473193,13,0.11427473456258416,11.0
363,low,Weekday,12,0.8461538461538461,0.11605125378256097,13,0.2604570022218549,11.0
363,low,Weekday,13,0.8461538461538461,0.16534422905871876,13,0.27406267710937515,11.0
363,low,Weekday,14,0.8461538461538461,0.1526372037130173,13,0.26279814162138065,11.0
363,low,Weekday,15,0.8461538461538461,0.1868003306411114,13,0.273584440868602,11.0
363,low,Weekday,16,0.8461538461538461,0.2408809214671644,13,0.29981321615016987,11.0
363,low,Weekday,17,0.8461538461538461,0.32456886462301643,13,0.4358392511770749,11.0
363,low,Weekday,18,0.8461538461538461,0.6835699139290388,13,0.5829346599516089,11.0
363,low,Weekday,19,0.8461538461538461,0.7619594097624276,13,0.22172269250040288,11.0
363,low,Weekday,20,0.8461538461538461,0.5814894353163791,13,0.2002468940903336,11.0
363,low,Weekday,21,0.8461538461538461,0.27575931840117723,13,0.1036226631282067,11.0
363,low,Weekday,22,0.8461538461538461,0.043410223456850146,13,0.029606466896714187,11.0
363,low,Weekday,23,0.8461538461538461,0.02596189086059764,13,0.01833452435200756,11.0
363,low,Saturday,0,1.0,0.00801272562024287,2,0.011331705243721835,2.0
363,low,Saturday,1,0.5,0.01604490634641755,2,,1.0
363,low,Saturday,2,0.5,0.01593301109312905,2,,1.0
363,low,Saturday,3,0.5,0.01587247520479358,2,,1.0
363,low,Saturday,4,0.5,0.01585483964267667,2,,1.0
363,low,Saturday,5,0.5,0.01957212766863514,2,,1.0
363,low,Saturday,6,0.5,0.01586423610305994,2,,1.0
363,low,Saturday,7,0.5,0.015720296497986883,2,,1.0
363,low,Saturday,8,1.0,0.45858453029928636,2,0.623042155472652,2.0
363,low,Saturday,9,1.0,0.5368695553323305,2,0.11484177160093183,2.0
363,low,Saturday,10,1.0,0.23869942758375032,2,0.30538817557021164,2.0
363,low,Saturday,11,1.0,0.36193399724849473,2,0.07405990937151569,2.0
363,low,Saturday,12,1.0,0.16607422869992064,2,0.208351841066676,2.0
363,low,Saturday,13,1.0,0.15177164149519345,2,0.18266457554424964,2.0
363,low,Saturday,14,1.0,0.1871009703620905,2,0.11743312824161957,2.0
363,low,Saturday,15,1.0,0.19380177247947195,2,0.11614219804301251,2.0
363,low,Saturday,16,1.0,0.1507600448800422,2,0.15907130128515246,2.0
363,low,Saturday,17,1.0,0.392673891648725,2,0.11214946366125995,2.0
363,low,Saturday,18,1.0,0.47814387745740583,2,0.06833732116648047,2.0
363,low,Saturday,19,1.0,0.6825212395413255,2,0.14809701953652193,2.0
363,low,Saturday,20,1.0,0.6931913346980283,2,0.012334544560962989,2.0
363,low,Saturday,21,1.0,0.3381433402064548,2,0.18932937973205569,2.0
363,low,Saturday,22,1.0,0.268575267570031,2,0.3573654396608228,2.0
363,low,Saturday,23,1.0,0.2304497389028145,2,0.30313797548720506,2.0
363,low,Sunday,0,1.0,0.1748141271828031,3,0.1375671215164895,3.0
363,low,Sunday,1,1.0,0.17144227487163874,3,0.13455025785243863,3.0
363,low,Sunday,2,1.0,0.17067881585642763,3,0.13387627039747785,3.0
363,low,Sunday,3,1.0,0.1697969788355833,3,0.13307874955999974,3.0
363,low,Sunday,4,1.0,0.16943558799062264,3,0.13291690010898263,3.0
363,low,Sunday,5,1.0,0.21800307229147806,3,0.045223795523820526,3.0
363,low,Sunday,6,1.0,0.2897810678212043,3,0.07551371440063526,3.0
363,low,Sunday,7,1.0,0.227899438263956,3,0.028678826318723618,3.0
363,low,Sunday,8,1.0,0.2835729266676122,3,0.051874275587031386,3.0
363,low,Sunday,9,1.0,0.1814874305714973,3,0.14361614778256074,3.0
363,low,Sunday,10,1.0,0.17418260837601784,3,0.13619971049611793,3.0
363,low,Sunday,11,1.0,0.2764933853236266,3,0.031660123021676055,3.0
363,low,Sunday,12,1.0,0.17980498075071702,3,0.13835563012521557,3.0
363,low,Sunday,13,1.0,0.25675649503828174,3,0.10633050585688973,3.0
363,low,Sunday,14,1.0,0.17953246492142047,3,0.13966789220705583,3.0
363,low,Sunday,15,1.0,0.1885480055498183,3,0.15042828548580953,3.0
363,low,Sunday,16,1.0,0.21944434561931783,3,0.1544673148743661,3.0
363,low,Sunday,17,1.0,0.258555578724652,3,0.027779700289228344,3.0
363,low,Sunday,18,1.0,0.5641281738780838,3,0.0800675224508909,3.0
363,low,Sunday,19,1.0,0.6820401518927307,3,0.13914110029221585,3.0
363,low,Sunday,20,1.0,0.5476046477495226,3,0.3931680897724441,3.0
363,low,Sunday,21,1.0,0.41387270755256783,3,0.37380042425533777,3.0
363,low,Sunday,22,1.0,0.15932529213413835,3,0.24837943675315527,3.0
363,low,Sunday,23,1.0,0.09531977083486302,3,0.1311766765736018,3.0
364,high,Weekday,0,0.9110671936758893,0.18495100620563218,51,0.16569584830298192,45.0
364,high,Weekday,1,0.8959156785243741,0.18967422380412305,51,0.16294487759834556,44.0
364,high,Weekday,2,0.8959156785243741,0.18960513704477347,51,0.16348735118910276,44.0
364,high,Weekday,3,0.8959156785243741,0.18849684360353694,51,0.16255857269606874,44.0
364,high,Weekday,4,0.8959156785243741,0.20290555888656112,51,0.1604634596944707,44.0
364,high,Weekday,5,0.8959156785243741,0.2883407478600768,51,0.2612982737711493,44.0
364,high,Weekday,6,0.8959156785243741,0.5194688330550983,51,0.38112093389451324,44.0
364,high,Weekday,7,0.8959156785243741,0.2893970311140443,51,0.24938616776944497,44.0
364,high,Weekday,8,0.9552042160737813,0.2529837903369783,51,0.23130005046358673,48.0
364,high,Weekday,9,0.9255599472990778,0.30982538224973055,51,0.33160590106339,46.0
364,high,Weekday,10,0.880764163372859,0.32751935032709656,51,0.3328358090429055,43.0
364,high,Weekday,11,0.8662714097496705,0.3365903789898466,52,0.3521774677519994,43.0
364,high,Weekday,12,0.8662714097496705,0.34382194928751214,52,0.28855705451199576,43.0
364,high,Weekday,13,0.8662714097496705,0.27139839843108954,52,0.2292784648509026,43.0
364,high,Weekday,14,0.8662714097496705,0.30054850934922234,52,0.2654741319557416,43.0
364,high,Weekday,15,0.8662714097496705,0.35031459170033835,52,0.28112829139029333,43.0
364,high,Weekday,16,0.8662714097496705,0.4307339562233337,52,0.37929938591346524,43.0
364,high,Weekday,17,0.8662714097496705,0.543723504043784,52,0.3695638689086809,43.0
364,high,Weekday,18,0.8662714097496705,0.582704544686405,52,0.24282965764496792,43.0
364,high,Weekday,19,0.8662714097496705,0.5438539913328727,52,0.16661307190058372,43.0
364,high,Weekday,20,0.8662714097496705,0.4500213252249223,52,0.1609347848684972,43.0
364,high,Weekday,21,0.8662714097496705,0.2982920115660455,52,0.20781005602074062,43.0
364,high,Weekday,22,0.8662714097496705,0.19725802094965997,52,0.13419831292890386,43.0
364,high,Weekday,23,0.8662714097496705,0.17432191373139502,52,0.11844801080848784,43.0
364,high,Saturday,0,1.0,0.2324401328672611,11,0.055921139802175036,11.0
364,high,Saturday,1,1.0,0.23392927037644307,11,0.05899226147428766,11.0
364,high,Saturday,2,1.0,0.2113344027606848,11,0.06145734041460526,11.0
364,high,Saturday,3,1.0,0.2072383897584256,11,0.06629562100540828,11.0
364,high,Saturday,4,1.0,0.20872705870996958,11,0.06793570579539235,11.0
364,high,Saturday,5,1.0,0.20780307459973224,11,0.0681246250889872,11.0
364,high,Saturday,6,1.0,0.2718876617042181,11,0.15660090961309536,11.0
364,high,Saturday,7,1.0,0.28015198568980004,11,0.13414253768909104,11.0
364,high,Saturday,8,1.0,0.4191609958447482,11,0.3107078667172413,11.0
364,high,Saturday,9,1.0,0.3852603877157514,11,0.2556891006693694,11.0
