RECORDER_ID,SERIAL_NO,CONFIG_TYPEID,START_TIME,END_TIME,GROUP_ID,active
WVL005,ERID-000WVL005,4,2012-09-01,2014-01-10,1000127,0
WVL005,ERID-000WVL005,4,2014-01-01,2015-01-10,1000141,1
WVL006,95679345,1,2009-07-15,2009-11-30,1000089,0
WVL006,ERID-000WVL006,4,2009-12-01,2010-10-31,1000099,0
WVL006,ERID-000WVL006,4,2010-11-01,2011-12-31,1000109,0
WVL006,ERID-000WVL006,4,2012-01-01,2013-01-10,1000116,0
WVL006,ERID-000WVL006,4,2012-09-01,2014-01-10,1000127,0
WVL006,ERID-000WVL006,4,2014-01-01,2015-01-10,1000141,1
WVL007,95679343,1,2009-07-10,2009-11-30,1000089,0
WVL007,ERID-000WVL007,4,2009-12-01,2010-10-31,1000099,0
WVL007,ERID-000WVL007,4,2010-11-01,2011-12-31,1000109,0
WVL007,ERID-000WVL007,4,2012-01-01,2013-01-10,1000116,0
WVL007,ERID-000WVL007,4,2012-09-01,2014-01-10,1000127,0
WVL007,ERID-000WVL007,4,2014-01-01,2015-01-10,1000141,1
WVL008,95679347,1,2009-07-15,2009-11-30,1000089,0
WVL008,ERID-000WVL008,4,2009-12-01,2010-10-31,1000099,0
WVL008,ERID-000WVL008,4,2010-11-01,2011-12-31,1000109,0
WVL008,ERID-000WVL008,4,2012-01-01,2013-01-10,1000116,0
WVL008,ERID-000WVL008,4,2012-09-01,2014-01-10,1000127,0
WVL008,ERID-000WVL008,4,2014-01-01,2015-01-10,1000141,1
WVL009,95679352,1,2009-07-14,2009-11-30,1000089,0
WVL009,ERID-000WVL009,4,2009-12-01,2010-10-31,1000099,0
WVL009,ERID-000WVL009,4,2010-11-01,2011-12-31,1000109,0
WVL009,ERID-000WVL009,4,2012-01-01,2013-01-10,1000116,0
WVL009,ERID-000WVL009,4,2012-09-01,2014-01-10,1000127,0
WVL009,ERID-000WVL009,4,2014-01-01,2015-01-10,1000141,1
WVL010,95935554,1,2009-07-14,2009-11-30,1000089,0
WVL010,ERID-000WVL010,4,2009-12-01,2010-10-31,1000099,0
WVL010,ERID-000WVL010,4,2010-11-01,2011-12-31,1000109,0
WVL010,ERID-000WVL010,4,2012-01-01,2013-01-10,1000116,0
WVL010,ERID-000WVL010,4,2012-09-01,2014-01-10,1000127,0
WVL010,ERID-000WVL010,4,2014-01-01,2015-01-10,1000141,1
WVL011,95935558,1,2009-07-14,2009-11-30,1000089,0
WVL011,ERID-000WVL011,4,2009-12-01,2010-10-31,1000099,0
WVL011,ERID-000WVL011,4,2010-11-01,2011-12-31,1000109,0
WVL011,ERID-000WVL011,4,2012-01-01,2013-01-10,1000116,0
WVL011,ERID-000WVL011,4,2012-09-01,2014-01-10,1000127,0
WVL011,ERID-000WVL011,4,2014-01-01,2015-01-10,1000141,1
WVL012,95935549,1,2009-07-14,2009-11-30,1000089,0
WVL012,ERID-000WVL012,4,2009-12-01,2010-10-31,1000099,0
